crab.ID,Species,Location,Sex,CW,Meta,Acanth,
ME-32,C. maenas,Maine,M,45,9,,
ME-33,C. maenas,Maine,F,49,29,,
ME-34,C. maenas,Maine,M,52,13,,
ME-35,C. maenas,Maine,M,52,56,,
ME-36,C. maenas,Maine,M,49,14,,
ME-37,C. maenas,Maine,M,59,35,,
ME-38,C. maenas,Maine,M,51,12,,
ME-39,C. maenas,Maine,M,52,17,,
ME-40,C. maenas,Maine,M,53,38,,
ME-41,C. maenas,Maine,M,57,77,,
ME-42,C. maenas,Maine,F,50,0,,
ME-43,C. maenas,Maine,F,44,105,,
ME-44,C. maenas,Maine,M,54,4,,
ME-45,C. maenas,Maine,M,52,18,,
ME-46,C. maenas,Maine,M,49,0,,
ME-47,C. maenas,Maine,M,47,3,,
ME-48,C. maenas,Maine,M,50,12,,
ME-49,C. maenas,Maine,M,56,7,,
ME-50,C. maenas,Maine,M,51,14,,
ME-51,C. maenas,Maine,M,52,30,,
ME-53,C. maenas,Maine,F,51,18,,
ME-55,C. maenas,Maine,M,59,46,,
ME-56,C. maenas,Maine,M,50,9,,
ME-57,C. maenas,Maine,M,48,5,,
ME-59,C. maenas,Maine,F,44,6,,
ME-60,C. maenas,Maine,M,53,2,,
ME-61,C. maenas,Maine,F,46,9,,
ME-62,C. maenas,Maine,M,56,25,,
ME-63,C. maenas,Maine,M,44,0,,
ME-64,C. maenas,Maine,M,48,91,,
