Plot Title: T7A,,,,,,,
#,"Date Time, GMT-04:00","Temp, °C (LGR S/N: 20548776, SEN S/N: 20548776, LBL: T7A)",Coupler Detached (LGR S/N: 20548776),Host Connected (LGR S/N: 20548776),Coupler Attached (LGR S/N: 20548776),Stopped (LGR S/N: 20548776),End Of File (LGR S/N: 20548776)
531,6/24/24 0:11,15.569,,,,,
532,6/24/24 0:26,15.569,,,,,
533,6/24/24 0:41,15.473,,,,,
534,6/24/24 0:56,15.473,,,,,
535,6/24/24 1:11,15.473,,,,,
536,6/24/24 1:26,15.473,,,,,
537,6/24/24 1:41,15.473,,,,,
538,6/24/24 1:56,15.473,,,,,
539,6/24/24 2:11,15.378,,,,,
540,6/24/24 2:26,15.378,,,,,
541,6/24/24 2:41,15.378,,,,,
542,6/24/24 2:56,15.378,,,,,
543,6/24/24 3:11,15.378,,,,,
544,6/24/24 3:26,15.378,,,,,
545,6/24/24 3:41,15.378,,,,,
546,6/24/24 3:56,15.378,,,,,
547,6/24/24 4:11,15.378,,,,,
548,6/24/24 4:26,15.378,,,,,
549,6/24/24 4:41,15.378,,,,,
550,6/24/24 4:56,15.378,,,,,
551,6/24/24 5:11,15.282,,,,,
552,6/24/24 5:26,15.282,,,,,
553,6/24/24 5:41,15.282,,,,,
554,6/24/24 5:56,15.282,,,,,
555,6/24/24 6:11,15.282,,,,,
556,6/24/24 6:26,15.282,,,,,
557,6/24/24 6:41,15.282,,,,,
558,6/24/24 6:56,15.282,,,,,
559,6/24/24 7:11,15.282,,,,,
560,6/24/24 7:26,15.378,,,,,
561,6/24/24 7:41,15.378,,,,,
562,6/24/24 7:56,15.664,,,,,
563,6/24/24 8:11,15.76,,,,,
564,6/24/24 8:26,15.76,,,,,
565,6/24/24 8:41,15.855,,,,,
566,6/24/24 8:56,15.951,,,,,
567,6/24/24 9:11,15.951,,,,,
568,6/24/24 9:26,16.046,,,,,
569,6/24/24 9:41,16.046,,,,,
570,6/24/24 9:56,16.141,,,,,
571,6/24/24 10:11,16.237,,,,,
572,6/24/24 10:26,16.332,,,,,
573,6/24/24 10:41,16.523,,,,,
574,6/24/24 10:56,16.523,,,,,
575,6/24/24 11:11,16.523,,,,,
576,6/24/24 11:26,16.523,,,,,
577,6/24/24 11:41,16.618,,,,,
578,6/24/24 11:56,16.713,,,,,
579,6/24/24 12:11,16.713,,,,,
580,6/24/24 12:26,16.618,,,,,
581,6/24/24 12:41,16.427,,,,,
582,6/24/24 12:56,16.141,,,,,
583,6/24/24 13:11,15.76,,,,,
584,6/24/24 13:26,15.282,,,,,
585,6/24/24 13:41,14.9,,,,,
586,6/24/24 13:56,14.517,,,,,
587,6/24/24 14:11,14.134,,,,,
588,6/24/24 14:26,13.75,,,,,
589,6/24/24 14:41,13.365,,,,,
590,6/24/24 14:56,12.98,,,,,
591,6/24/24 15:11,12.497,,,,,
592,6/24/24 15:26,12.013,,,,,
593,6/24/24 15:41,11.431,,,,,
594,6/24/24 15:56,11.139,,,,,
595,6/24/24 16:11,10.748,,,,,
596,6/24/24 16:26,10.553,,,,,
597,6/24/24 16:41,10.357,,,,,
598,6/24/24 16:56,10.161,,,,,
599,6/24/24 17:11,9.965,,,,,
600,6/24/24 17:26,9.768,,,,,
601,6/24/24 17:41,9.472,,,,,
602,6/24/24 17:56,9.373,,,,,
603,6/24/24 18:11,9.077,,,,,
604,6/24/24 18:26,8.879,,,,,
605,6/24/24 18:41,8.581,,,,,
606,6/24/24 18:56,8.481,,,,,
607,6/24/24 19:11,8.182,,,,,
608,6/24/24 19:26,7.882,,,,,
609,6/24/24 19:41,7.582,,,,,
610,6/24/24 19:56,7.28,,,,,
611,6/24/24 20:11,7.079,,,,,
612,6/24/24 20:26,6.877,,,,,
613,6/24/24 20:41,6.573,,,,,
614,6/24/24 20:56,6.37,,,,,
615,6/24/24 21:11,6.166,,,,,
616,6/24/24 21:26,5.962,,,,,
617,6/24/24 21:41,5.757,,,,,
618,6/24/24 21:56,5.552,,,,,
619,6/24/24 22:11,5.347,,,,,
620,6/24/24 22:26,5.244,,,,,
621,6/24/24 22:41,5.037,,,,,
622,6/24/24 22:56,5.347,,,,,
623,6/24/24 23:11,5.141,,,,,
624,6/24/24 23:26,5.037,,,,,
625,6/24/24 23:41,5.347,,,,,
626,6/24/24 23:56,5.141,,,,,
627,6/25/24 0:11,5.141,,,,,
628,6/25/24 0:26,5.244,,,,,
629,6/25/24 0:41,5.141,,,,,
630,6/25/24 0:56,5.347,,,,,
631,6/25/24 1:11,5.244,,,,,
632,6/25/24 1:26,5.037,,,,,
633,6/25/24 1:41,5.347,,,,,
634,6/25/24 1:56,5.141,,,,,
635,6/25/24 2:11,5.141,,,,,
636,6/25/24 2:26,5.347,,,,,
637,6/25/24 2:41,5.244,,,,,
638,6/25/24 2:56,5.141,,,,,
639,6/25/24 3:11,5.347,,,,,
640,6/25/24 3:26,5.141,,,,,
641,6/25/24 3:41,5.244,,,,,
642,6/25/24 3:56,5.347,,,,,
643,6/25/24 4:11,5.141,,,,,
644,6/25/24 4:26,5.347,,,,,
645,6/25/24 4:41,5.244,,,,,
646,6/25/24 4:56,5.037,,,,,
647,6/25/24 5:11,5.347,,,,,
648,6/25/24 5:26,5.244,,,,,
649,6/25/24 5:41,5.037,,,,,
650,6/25/24 5:56,5.347,,,,,
651,6/25/24 6:11,5.244,,,,,
652,6/25/24 6:26,5.141,,,,,
653,6/25/24 6:41,5.45,,,,,
654,6/25/24 6:56,5.347,,,,,
655,6/25/24 7:11,5.244,,,,,
656,6/25/24 7:26,5.45,,,,,
657,6/25/24 7:41,5.141,,,,,
658,6/25/24 7:56,5.347,,,,,
659,6/25/24 8:11,5.45,,,,,
664,6/25/24 8:41,5.45,,,,,
665,6/25/24 8:56,5.347,,,,,
666,6/25/24 9:11,5.244,,,,,
667,6/25/24 9:26,5.141,,,,,
668,6/25/24 9:41,5.141,,,,,
669,6/25/24 9:56,5.45,,,,,
670,6/25/24 10:11,5.45,,,,,
671,6/25/24 10:26,5.347,,,,,
672,6/25/24 10:41,5.347,,,,,
673,6/25/24 10:56,5.347,,,,,
674,6/25/24 11:11,5.244,,,,,
675,6/25/24 11:26,5.244,,,,,
676,6/25/24 11:41,5.244,,,,,
677,6/25/24 11:56,5.244,,,,,
678,6/25/24 12:11,5.347,,,,,
679,6/25/24 12:26,5.244,,,,,
680,6/25/24 12:41,5.141,,,,,
681,6/25/24 12:56,5.141,,,,,
682,6/25/24 13:11,5.141,,,,,
683,6/25/24 13:26,5.141,,,,,
684,6/25/24 13:41,5.141,,,,,
685,6/25/24 13:56,5.141,,,,,
686,6/25/24 14:11,5.037,,,,,
687,6/25/24 14:26,5.552,,,,,
688,6/25/24 14:41,5.552,,,,,
689,6/25/24 14:56,5.45,,,,,
690,6/25/24 15:11,5.45,,,,,
691,6/25/24 15:26,5.45,,,,,
692,6/25/24 15:41,5.45,,,,,
693,6/25/24 15:56,5.45,,,,,
694,6/25/24 16:11,5.45,,,,,
695,6/25/24 16:26,5.45,,,,,
696,6/25/24 16:41,5.45,,,,,
697,6/25/24 16:56,5.45,,,,,
698,6/25/24 17:11,5.45,,,,,
699,6/25/24 17:26,5.552,,,,,
700,6/25/24 17:41,5.552,,,,,
701,6/25/24 17:56,5.45,,,,,
702,6/25/24 18:11,5.347,,,,,
703,6/25/24 18:26,5.244,,,,,
704,6/25/24 18:41,5.037,,,,,
705,6/25/24 18:56,5.037,,,,,
706,6/25/24 19:11,5.141,,,,,
