Plot Title: T5A,,,,,,,
#,"Date Time, GMT-04:00","Temp, °C (LGR S/N: 20548752, SEN S/N: 20548752)",Coupler Detached (LGR S/N: 20548752),Host Connected (LGR S/N: 20548752),Coupler Attached (LGR S/N: 20548752),Stopped (LGR S/N: 20548752),End Of File (LGR S/N: 20548752)
1864,6/24/24 0:06,15.473,,,,,
1865,6/24/24 0:21,15.473,,,,,
1866,6/24/24 0:36,15.378,,,,,
1867,6/24/24 0:51,15.378,,,,,
1868,6/24/24 1:06,15.378,,,,,
1869,6/24/24 1:21,15.378,,,,,
1870,6/24/24 1:36,15.378,,,,,
1871,6/24/24 1:51,15.378,,,,,
1872,6/24/24 2:06,15.378,,,,,
1873,6/24/24 2:21,15.282,,,,,
1874,6/24/24 2:36,15.282,,,,,
1875,6/24/24 2:51,15.282,,,,,
1876,6/24/24 3:06,15.282,,,,,
1877,6/24/24 3:21,15.282,,,,,
1878,6/24/24 3:36,15.282,,,,,
1879,6/24/24 3:51,15.282,,,,,
1880,6/24/24 4:06,15.282,,,,,
1881,6/24/24 4:21,15.187,,,,,
1882,6/24/24 4:36,15.187,,,,,
1883,6/24/24 4:51,15.187,,,,,
1884,6/24/24 5:06,15.187,,,,,
1885,6/24/24 5:21,15.187,,,,,
1886,6/24/24 5:36,15.187,,,,,
1887,6/24/24 5:51,15.187,,,,,
1888,6/24/24 6:06,15.187,,,,,
1889,6/24/24 6:21,15.187,,,,,
1890,6/24/24 6:36,15.187,,,,,
1891,6/24/24 6:51,15.187,,,,,
1892,6/24/24 7:06,15.187,,,,,
1893,6/24/24 7:21,15.282,,,,,
1894,6/24/24 7:36,15.282,,,,,
1895,6/24/24 7:51,15.282,,,,,
1896,6/24/24 8:06,15.378,,,,,
1897,6/24/24 8:21,15.473,,,,,
1898,6/24/24 8:36,15.569,,,,,
1899,6/24/24 8:51,15.664,,,,,
1900,6/24/24 9:06,15.664,,,,,
1901,6/24/24 9:21,15.664,,,,,
1902,6/24/24 9:36,15.76,,,,,
1903,6/24/24 9:51,15.855,,,,,
1904,6/24/24 10:06,15.855,,,,,
1905,6/24/24 10:21,15.951,,,,,
1906,6/24/24 10:36,16.046,,,,,
1907,6/24/24 10:51,16.141,,,,,
1908,6/24/24 11:06,16.141,,,,,
1909,6/24/24 11:21,16.141,,,,,
1910,6/24/24 11:36,16.237,,,,,
1911,6/24/24 11:51,16.237,,,,,
1912,6/24/24 12:06,16.332,,,,,
1913,6/24/24 12:21,16.332,,,,,
1914,6/24/24 12:36,16.237,,,,,
1915,6/24/24 12:51,15.951,,,,,
1916,6/24/24 13:06,15.664,,,,,
1917,6/24/24 13:21,15.282,,,,,
1918,6/24/24 13:36,14.9,,,,,
1919,6/24/24 13:51,14.613,,,,,
1920,6/24/24 14:06,14.23,,,,,
1921,6/24/24 14:21,13.942,,,,,
1922,6/24/24 14:36,13.558,,,,,
1923,6/24/24 14:51,13.269,,,,,
1924,6/24/24 15:06,12.883,,,,,
1925,6/24/24 15:21,12.401,,,,,
