Plot Title: T8B-2,,,,,,,
#,"Date Time, GMT-04:00","Temp, °C (LGR S/N: 21435200, SEN S/N: 21435200)",Coupler Detached (LGR S/N: 21435200),Host Connected (LGR S/N: 21435200),Coupler Attached (LGR S/N: 21435200),Stopped (LGR S/N: 21435200),End Of File (LGR S/N: 21435200)
3,7/23/24 16:52,5.244,,,,,
4,7/23/24 17:07,5.141,,,,,
5,7/23/24 17:22,5.244,,,,,
6,7/23/24 17:37,5.141,,,,,
7,7/23/24 17:52,5.244,,,,,
8,7/23/24 18:07,5.141,,,,,
9,7/23/24 18:22,5.244,,,,,
10,7/23/24 18:37,5.037,,,,,
11,7/23/24 18:52,5.244,,,,,
12,7/23/24 19:07,5.037,,,,,
13,7/23/24 19:22,5.244,,,,,
14,7/23/24 19:37,5.037,,,,,
15,7/23/24 19:52,5.244,,,,,
16,7/23/24 20:07,5.244,,,,,
17,7/23/24 20:22,5.244,,,,,
18,7/23/24 20:37,5.244,,,,,
19,7/23/24 20:52,5.244,,,,,
20,7/23/24 21:07,5.347,,,,,
21,7/23/24 21:22,5.244,,,,,
22,7/23/24 21:37,5.037,,,,,
23,7/23/24 21:52,5.244,,,,,
24,7/23/24 22:07,5.141,,,,,
25,7/23/24 22:22,5.244,,,,,
26,7/23/24 22:37,5.037,,,,,
27,7/23/24 22:52,5.244,,,,,
28,7/23/24 23:07,5.037,,,,,
29,7/23/24 23:22,5.347,,,,,
30,7/23/24 23:37,5.141,,,,,
31,7/23/24 23:52,5.347,,,,,
32,7/24/24 0:07,5.141,,,,,
33,7/24/24 0:22,5.347,,,,,
34,7/24/24 0:37,5.141,,,,,
35,7/24/24 0:52,5.347,,,,,
36,7/24/24 1:07,5.244,,,,,
37,7/24/24 1:22,5.141,,,,,
38,7/24/24 1:37,5.244,,,,,
39,7/24/24 1:52,5.037,,,,,
40,7/24/24 2:07,5.244,,,,,
41,7/24/24 2:22,5.037,,,,,
42,7/24/24 2:37,5.244,,,,,
43,7/24/24 2:52,5.037,,,,,
44,7/24/24 3:07,5.244,,,,,
45,7/24/24 3:22,5.037,,,,,
46,7/24/24 3:37,5.347,,,,,
47,7/24/24 3:52,5.141,,,,,
48,7/24/24 4:07,5.347,,,,,
49,7/24/24 4:22,5.141,,,,,
50,7/24/24 4:37,5.347,,,,,
51,7/24/24 4:52,5.141,,,,,
52,7/24/24 5:07,5.347,,,,,
53,7/24/24 5:22,5.141,,,,,
54,7/24/24 5:37,5.347,,,,,
55,7/24/24 5:52,5.141,,,,,
56,7/24/24 6:07,5.347,,,,,
57,7/24/24 6:22,5.141,,,,,
58,7/24/24 6:37,5.347,,,,,
59,7/24/24 6:52,5.141,,,,,
60,7/24/24 7:07,5.347,,,,,
61,7/24/24 7:22,5.141,,,,,
62,7/24/24 7:37,5.347,,,,,
63,7/24/24 7:52,5.244,,,,,
64,7/24/24 8:07,5.244,,,,,
65,7/24/24 8:22,5.244,,,,,
66,7/24/24 8:37,5.141,,,,,
67,7/24/24 8:52,5.244,,,,,
68,7/24/24 9:07,5.141,,,,,
69,7/24/24 9:22,5.347,,,,,
70,7/24/24 9:37,5.141,,,,,
71,7/24/24 9:52,5.347,,,,,
72,7/24/24 10:07,5.244,,,,,
73,7/24/24 10:22,5.141,,,,,
74,7/24/24 10:37,5.347,,,,,
75,7/24/24 10:52,5.244,,,,,
76,7/24/24 11:07,5.347,,,,,
77,7/24/24 11:22,5.347,,,,,
82,7/24/24 11:52,5.141,,,,,
83,7/24/24 12:07,5.45,,,,,
84,7/24/24 12:22,5.244,,,,,
85,7/24/24 12:37,5.037,,,,,
86,7/24/24 12:52,5.45,,,,,
87,7/24/24 13:07,5.347,,,,,
88,7/24/24 13:22,5.141,,,,,
89,7/24/24 13:37,5.45,,,,,
90,7/24/24 13:52,5.347,,,,,
91,7/24/24 14:07,5.244,,,,,
92,7/24/24 14:22,5.037,,,,,
93,7/24/24 14:37,5.45,,,,,
94,7/24/24 14:52,5.244,,,,,
95,7/24/24 15:07,5.141,,,,,
96,7/24/24 15:22,5.552,,,,,
97,7/24/24 15:37,5.347,,,,,
98,7/24/24 15:52,5.141,,,,,
99,7/24/24 16:07,5.141,,,,,
100,7/24/24 16:22,5.45,,,,,
101,7/24/24 16:37,5.244,,,,,
102,7/24/24 16:52,5.037,,,,,
103,7/24/24 17:07,5.45,,,,,
104,7/24/24 17:22,5.347,,,,,
105,7/24/24 17:37,5.141,,,,,
106,7/24/24 17:52,5.347,,,,,
107,7/24/24 18:07,5.347,,,,,
108,7/24/24 18:22,5.141,,,,,
109,7/24/24 18:37,5.347,,,,,
110,7/24/24 18:52,5.347,,,,,
111,7/24/24 19:07,5.141,,,,,
112,7/24/24 19:22,5.45,,,,,
113,7/24/24 19:37,5.244,,,,,
114,7/24/24 19:52,5.141,,,,,
115,7/24/24 20:07,5.45,,,,,
116,7/24/24 20:22,5.244,,,,,
117,7/24/24 20:37,5.037,,,,,
118,7/24/24 20:52,5.347,,,,,
119,7/24/24 21:07,5.141,,,,,
120,7/24/24 21:22,5.347,,,,,
121,7/24/24 21:37,5.347,,,,,
122,7/24/24 21:52,5.141,,,,,
123,7/24/24 22:07,5.45,,,,,
124,7/24/24 22:22,5.347,,,,,
125,7/24/24 22:37,5.141,,,,,
126,7/24/24 22:52,5.552,,,,,
127,7/24/24 23:07,5.45,,,,,
128,7/24/24 23:22,5.244,,,,,
129,7/24/24 23:37,5.141,,,,,
130,7/24/24 23:52,5.347,,,,,
131,7/25/24 0:07,5.244,,,,,
132,7/25/24 0:22,5.347,,,,,
133,7/25/24 0:37,5.347,,,,,
134,7/25/24 0:52,5.244,,,,,
135,7/25/24 1:07,5.347,,,,,
136,7/25/24 1:22,5.347,,,,,
137,7/25/24 1:37,5.141,,,,,
138,7/25/24 1:52,5.552,,,,,
139,7/25/24 2:07,5.347,,,,,
140,7/25/24 2:22,5.244,,,,,
141,7/25/24 2:37,5.347,,,,,
142,7/25/24 2:52,5.347,,,,,
143,7/25/24 3:07,5.244,,,,,
144,7/25/24 3:22,5.037,,,,,
145,7/25/24 3:37,5.347,,,,,
146,7/25/24 3:52,5.141,,,,,
147,7/25/24 4:07,5.552,,,,,
148,7/25/24 4:22,5.45,,,,,
149,7/25/24 4:37,5.244,,,,,
150,7/25/24 4:52,5.037,,,,,
151,7/25/24 5:07,5.45,,,,,
