Plot Title: T2ANH,,
#,"Date Time, GMT-04:00","Temp, °C (LGR S/N: 20548772, SEN S/N: 20548772)"
1,7/26/24 17:51,21.855
3,7/26/24 18:06,22.046
4,7/26/24 18:21,22.142
5,7/26/24 18:36,22.333
6,7/26/24 18:51,22.525
7,7/26/24 19:06,22.525
8,7/26/24 19:21,22.621
9,7/26/24 19:36,22.525
10,7/26/24 19:51,22.429
11,7/26/24 20:06,22.333
12,7/26/24 20:21,22.333
13,7/26/24 20:36,22.333
14,7/26/24 20:51,22.333
15,7/26/24 21:06,22.333
16,7/26/24 21:21,22.333
17,7/26/24 21:36,22.333
18,7/26/24 21:51,22.333
19,7/26/24 22:06,22.333
20,7/26/24 22:21,22.333
21,7/26/24 22:36,22.333
22,7/26/24 22:51,22.333
23,7/26/24 23:06,22.333
24,7/26/24 23:21,22.429
25,7/26/24 23:36,22.429
26,7/26/24 23:51,22.429
27,7/27/24 0:06,22.429
28,7/27/24 0:21,22.429
29,7/27/24 0:36,22.429
30,7/27/24 0:51,22.429
31,7/27/24 1:06,22.429
32,7/27/24 1:21,22.429
33,7/27/24 1:36,22.429
34,7/27/24 1:51,22.429
35,7/27/24 2:06,22.429
36,7/27/24 2:21,22.333
37,7/27/24 2:36,22.333
38,7/27/24 2:51,22.333
39,7/27/24 3:06,22.333
40,7/27/24 3:21,22.333
41,7/27/24 3:36,22.333
42,7/27/24 3:51,22.333
43,7/27/24 4:06,22.333
44,7/27/24 4:21,22.333
45,7/27/24 4:36,22.333
46,7/27/24 4:51,22.333
47,7/27/24 5:06,22.238
48,7/27/24 5:21,22.238
49,7/27/24 5:36,22.238
50,7/27/24 5:51,22.238
51,7/27/24 6:06,22.238
52,7/27/24 6:21,22.238
53,7/27/24 6:36,22.238
54,7/27/24 6:51,22.238
55,7/27/24 7:06,22.238
56,7/27/24 7:21,22.333
57,7/27/24 7:36,22.333
58,7/27/24 7:51,22.333
59,7/27/24 8:06,22.333
60,7/27/24 8:21,22.333
61,7/27/24 8:36,22.333
62,7/27/24 8:51,22.333
63,7/27/24 9:06,22.333
64,7/27/24 9:21,22.333
65,7/27/24 9:36,22.333
66,7/27/24 9:51,22.333
67,7/27/24 10:06,22.333
68,7/27/24 10:21,22.429
69,7/27/24 10:36,22.429
70,7/27/24 10:51,22.429
71,7/27/24 11:06,22.429
72,7/27/24 11:21,22.429
73,7/27/24 11:36,22.429
74,7/27/24 11:51,22.429
75,7/27/24 12:06,22.429
76,7/27/24 12:21,22.525
77,7/27/24 12:36,22.525
78,7/27/24 12:51,22.525
79,7/27/24 13:06,22.525
80,7/27/24 13:21,22.525
81,7/27/24 13:36,22.525
82,7/27/24 13:51,22.525
83,7/27/24 14:06,22.525
84,7/27/24 14:21,22.525
85,7/27/24 14:36,22.525
86,7/27/24 14:51,22.621
87,7/27/24 15:06,22.621
88,7/27/24 15:21,22.717
89,7/27/24 15:36,22.717
90,7/27/24 15:51,22.717
91,7/27/24 16:06,22.812
92,7/27/24 16:21,22.908
93,7/27/24 16:36,23.004
94,7/27/24 16:51,23.1
95,7/27/24 17:06,23.196
96,7/27/24 17:21,23.292
97,7/27/24 17:36,23.388
98,7/27/24 17:51,23.388
99,7/27/24 18:06,23.388
100,7/27/24 18:21,23.484
101,7/27/24 18:36,23.484
102,7/27/24 18:51,23.388
103,7/27/24 19:06,23.388
104,7/27/24 19:21,23.292
105,7/27/24 19:36,23.292
106,7/27/24 19:51,23.1
107,7/27/24 20:06,23.004
108,7/27/24 20:21,23.004
109,7/27/24 20:36,22.908
110,7/27/24 20:51,22.908
111,7/27/24 21:06,22.908
112,7/27/24 21:21,22.812
113,7/27/24 21:36,22.812
114,7/27/24 21:51,22.812
115,7/27/24 22:06,22.812
116,7/27/24 22:21,22.812
117,7/27/24 22:36,22.812
118,7/27/24 22:51,22.812
119,7/27/24 23:06,22.812
120,7/27/24 23:21,22.812
121,7/27/24 23:36,22.717
122,7/27/24 23:51,22.717
123,7/28/24 0:06,22.717
124,7/28/24 0:21,22.717
125,7/28/24 0:36,22.717
126,7/28/24 0:51,22.717
127,7/28/24 1:06,22.717
128,7/28/24 1:21,22.717
129,7/28/24 1:36,22.717
130,7/28/24 1:51,22.717
131,7/28/24 2:06,22.717
132,7/28/24 2:21,22.717
133,7/28/24 2:36,22.717
134,7/28/24 2:51,22.717
135,7/28/24 3:06,22.717
136,7/28/24 3:21,22.717
137,7/28/24 3:36,22.717
138,7/28/24 3:51,22.717
139,7/28/24 4:06,22.621
140,7/28/24 4:21,22.621
141,7/28/24 4:36,22.621
142,7/28/24 4:51,22.621
143,7/28/24 5:06,22.621
144,7/28/24 5:21,22.621
145,7/28/24 5:36,22.621
146,7/28/24 5:51,22.621
147,7/28/24 6:06,22.621
148,7/28/24 6:21,22.621
149,7/28/24 6:36,22.621
150,7/28/24 6:51,22.621
151,7/28/24 7:06,22.621
152,7/28/24 7:21,22.621
153,7/28/24 7:36,22.621
154,7/28/24 7:51,22.621
155,7/28/24 8:06,22.621
156,7/28/24 8:21,22.621
157,7/28/24 8:36,22.621
158,7/28/24 8:51,22.621
159,7/28/24 9:06,22.621
160,7/28/24 9:21,22.621
161,7/28/24 9:36,22.621
162,7/28/24 9:51,22.621
163,7/28/24 10:06,22.621
164,7/28/24 10:21,22.621
165,7/28/24 10:36,22.621
166,7/28/24 10:51,22.717
167,7/28/24 11:06,22.621
168,7/28/24 11:21,22.621
169,7/28/24 11:36,22.621
170,7/28/24 11:51,22.621
171,7/28/24 12:06,22.621
172,7/28/24 12:21,22.717
173,7/28/24 12:36,22.717
174,7/28/24 12:51,22.812
175,7/28/24 13:06,22.812
176,7/28/24 13:21,22.812
177,7/28/24 13:36,22.812
178,7/28/24 13:51,22.812
179,7/28/24 14:06,22.812
180,7/28/24 14:21,22.812
181,7/28/24 14:36,22.812
182,7/28/24 14:51,22.812
183,7/28/24 15:06,22.812
184,7/28/24 15:21,22.812
185,7/28/24 15:36,22.717
186,7/28/24 15:51,22.717
187,7/28/24 16:06,22.717
188,7/28/24 16:21,22.621
189,7/28/24 16:36,22.621
190,7/28/24 16:51,22.621
191,7/28/24 17:06,22.621
192,7/28/24 17:21,22.621
193,7/28/24 17:36,22.525
194,7/28/24 17:51,22.525
195,7/28/24 18:06,22.525
196,7/28/24 18:21,22.429
197,7/28/24 18:36,22.429
198,7/28/24 18:51,22.429
199,7/28/24 19:06,22.429
200,7/28/24 19:21,22.429
201,7/28/24 19:36,22.429
202,7/28/24 19:51,22.333
203,7/28/24 20:06,22.333
204,7/28/24 20:21,22.333
205,7/28/24 20:36,22.333
206,7/28/24 20:51,22.333
207,7/28/24 21:06,22.333
208,7/28/24 21:21,22.238
209,7/28/24 21:36,22.238
210,7/28/24 21:51,22.238
211,7/28/24 22:06,22.238
212,7/28/24 22:21,22.238
213,7/28/24 22:36,22.238
214,7/28/24 22:51,22.238
215,7/28/24 23:06,22.238
216,7/28/24 23:21,22.238
217,7/28/24 23:36,22.142
218,7/28/24 23:51,22.142
219,7/29/24 0:06,22.142
220,7/29/24 0:21,22.142
221,7/29/24 0:36,22.142
222,7/29/24 0:51,22.142
223,7/29/24 1:06,22.142
224,7/29/24 1:21,22.142
225,7/29/24 1:36,22.142
226,7/29/24 1:51,22.046
227,7/29/24 2:06,22.046
228,7/29/24 2:21,22.046
229,7/29/24 2:36,22.046
230,7/29/24 2:51,22.046
231,7/29/24 3:06,22.046
232,7/29/24 3:21,22.046
233,7/29/24 3:36,22.046
234,7/29/24 3:51,22.046
235,7/29/24 4:06,21.951
236,7/29/24 4:21,21.951
237,7/29/24 4:36,21.951
238,7/29/24 4:51,21.951
239,7/29/24 5:06,21.951
240,7/29/24 5:21,21.951
241,7/29/24 5:36,21.951
242,7/29/24 5:51,21.951
243,7/29/24 6:06,21.951
244,7/29/24 6:21,21.855
245,7/29/24 6:36,21.951
246,7/29/24 6:51,21.951
247,7/29/24 7:06,21.951
248,7/29/24 7:21,21.951
249,7/29/24 7:36,21.951
250,7/29/24 7:51,21.951
251,7/29/24 8:06,21.951
252,7/29/24 8:21,21.951
253,7/29/24 8:36,22.046
254,7/29/24 8:51,22.046
255,7/29/24 9:06,22.142
256,7/29/24 9:21,22.238
257,7/29/24 9:36,22.238
258,7/29/24 9:51,22.333
259,7/29/24 10:06,22.333
260,7/29/24 10:21,22.333
261,7/29/24 10:36,22.429
262,7/29/24 10:51,22.429
263,7/29/24 11:06,22.525
264,7/29/24 11:21,22.621
265,7/29/24 11:36,22.717
266,7/29/24 11:51,22.717
267,7/29/24 12:06,22.812
268,7/29/24 12:21,22.908
269,7/29/24 12:36,23.004
270,7/29/24 12:51,23.004
271,7/29/24 13:06,23.004
272,7/29/24 13:21,22.908
273,7/29/24 13:36,22.908
274,7/29/24 13:51,22.908
275,7/29/24 14:06,23.004
276,7/29/24 14:21,23.1
277,7/29/24 14:36,23.196
278,7/29/24 14:51,23.292
279,7/29/24 15:06,23.292
280,7/29/24 15:21,23.388
281,7/29/24 15:36,23.484
282,7/29/24 15:51,23.581
283,7/29/24 16:06,23.484
284,7/29/24 16:21,23.484
285,7/29/24 16:36,23.677
286,7/29/24 16:51,23.677
287,7/29/24 17:06,23.773
288,7/29/24 17:21,23.773
289,7/29/24 17:36,23.677
290,7/29/24 17:51,23.677
291,7/29/24 18:06,23.581
292,7/29/24 18:21,23.581
293,7/29/24 18:36,23.388
294,7/29/24 18:51,23.196
295,7/29/24 19:06,23.1
296,7/29/24 19:21,23.004
297,7/29/24 19:36,22.908
298,7/29/24 19:51,22.812
299,7/29/24 20:06,22.717
300,7/29/24 20:21,22.717
301,7/29/24 20:36,22.717
302,7/29/24 20:51,22.621
303,7/29/24 21:06,22.621
304,7/29/24 21:21,22.525
305,7/29/24 21:36,22.525
306,7/29/24 21:51,22.525
307,7/29/24 22:06,22.525
308,7/29/24 22:21,22.525
309,7/29/24 22:36,22.429
310,7/29/24 22:51,22.429
311,7/29/24 23:06,22.429
312,7/29/24 23:21,22.429
313,7/29/24 23:36,22.429
314,7/29/24 23:51,22.429
315,7/30/24 0:06,22.429
316,7/30/24 0:21,22.429
317,7/30/24 0:36,22.429
318,7/30/24 0:51,22.429
319,7/30/24 1:06,22.429
320,7/30/24 1:21,22.429
321,7/30/24 1:36,22.429
322,7/30/24 1:51,22.429
323,7/30/24 2:06,22.429
324,7/30/24 2:21,22.429
325,7/30/24 2:36,22.429
326,7/30/24 2:51,22.429
327,7/30/24 3:06,22.429
328,7/30/24 3:21,22.429
329,7/30/24 3:36,22.429
330,7/30/24 3:51,22.429
331,7/30/24 4:06,22.429
332,7/30/24 4:21,22.333
333,7/30/24 4:36,22.333
334,7/30/24 4:51,22.333
335,7/30/24 5:06,22.333
336,7/30/24 5:21,22.333
337,7/30/24 5:36,22.333
338,7/30/24 5:51,22.333
339,7/30/24 6:06,22.333
340,7/30/24 6:21,22.333
341,7/30/24 6:36,22.429
342,7/30/24 6:51,22.429
343,7/30/24 7:06,22.429
344,7/30/24 7:21,22.429
345,7/30/24 7:36,22.429
346,7/30/24 7:51,22.429
347,7/30/24 8:06,22.429
348,7/30/24 8:21,22.525
349,7/30/24 8:36,22.621
350,7/30/24 8:51,22.621
351,7/30/24 9:06,22.717
352,7/30/24 9:21,22.812
