"Plot Title: t10a"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20548774, SEN S/N: 20548774, LBL: t10a)","Coupler Detached (LGR S/N: 20548774)","Coupler Attached (LGR S/N: 20548774)","Host Connected (LGR S/N: 20548774)","Stopped (LGR S/N: 20548774)","End Of File (LGR S/N: 20548774)"
1,07/31/23 10:22:02 AM,25.222,,,,,
2,07/31/23 10:22:05 AM,,Logged,,,,
3,07/31/23 10:37:02 AM,17.570,,,,,
4,07/31/23 10:52:02 AM,15.951,,,,,
5,07/31/23 11:07:02 AM,15.855,,,,,
6,07/31/23 11:22:02 AM,15.569,,,,,
7,07/31/23 11:37:02 AM,15.569,,,,,
8,07/31/23 11:52:02 AM,15.760,,,,,
9,07/31/23 12:07:02 PM,16.046,,,,,
10,07/31/23 12:22:02 PM,15.855,,,,,
11,07/31/23 12:37:02 PM,15.855,,,,,
12,07/31/23 12:52:02 PM,15.855,,,,,
13,07/31/23 01:07:02 PM,16.046,,,,,
14,07/31/23 01:22:02 PM,16.332,,,,,
15,07/31/23 01:37:02 PM,16.332,,,,,
16,07/31/23 01:52:02 PM,16.237,,,,,
17,07/31/23 02:07:02 PM,16.237,,,,,
18,07/31/23 02:22:02 PM,16.237,,,,,
19,07/31/23 02:37:02 PM,16.332,,,,,
20,07/31/23 02:52:02 PM,16.332,,,,,
21,07/31/23 03:07:02 PM,16.332,,,,,
22,07/31/23 03:22:02 PM,16.332,,,,,
23,07/31/23 03:37:02 PM,16.332,,,,,
24,07/31/23 03:52:02 PM,16.237,,,,,
25,07/31/23 04:07:02 PM,16.332,,,,,
26,07/31/23 04:22:02 PM,16.332,,,,,
27,07/31/23 04:37:02 PM,16.237,,,,,
28,07/31/23 04:52:02 PM,16.237,,,,,
29,07/31/23 05:07:02 PM,16.237,,,,,
30,07/31/23 05:22:02 PM,16.237,,,,,
31,07/31/23 05:37:02 PM,16.141,,,,,
32,07/31/23 05:52:02 PM,16.141,,,,,
33,07/31/23 06:07:02 PM,16.046,,,,,
34,07/31/23 06:22:02 PM,16.046,,,,,
