Plot Title: t13a,,,,
#,"Date Time, GMT-04:00","Temp, °C (LGR S/N: 20548754, SEN S/N: 20548754)",Coupler Detached (LGR S/N: 20548754),End Of File (LGR S/N: 20548754)
3,8/2/23 8:08,15.569,,
4,8/2/23 8:23,15.378,,
5,8/2/23 8:38,15.473,,
6,8/2/23 8:53,15.473,,
7,8/2/23 9:08,15.569,,
8,8/2/23 9:23,15.664,,
9,8/2/23 9:38,15.76,,
10,8/2/23 9:53,15.855,,
11,8/2/23 10:08,15.951,,
12,8/2/23 10:23,16.046,,
13,8/2/23 10:38,16.141,,
14,8/2/23 10:53,16.141,,
15,8/2/23 11:08,16.237,,
16,8/2/23 11:23,16.237,,
17,8/2/23 11:38,16.141,,
18,8/2/23 11:53,16.141,,
19,8/2/23 12:08,16.141,,
20,8/2/23 12:23,16.141,,
21,8/2/23 12:38,16.046,,
22,8/2/23 12:53,16.046,,
23,8/2/23 13:08,16.237,,
24,8/2/23 13:23,16.141,,
25,8/2/23 13:38,16.141,,
26,8/2/23 13:53,16.332,,
27,8/2/23 14:08,16.332,,
28,8/2/23 14:23,16.332,,
29,8/2/23 14:38,16.427,,
30,8/2/23 14:53,16.427,,
31,8/2/23 15:08,16.523,,
32,8/2/23 15:23,16.523,,
33,8/2/23 15:38,16.523,,
34,8/2/23 15:53,16.618,,
35,8/2/23 16:08,16.618,,
36,8/2/23 16:23,16.713,,
37,8/2/23 16:38,16.713,,
38,8/2/23 16:53,16.713,,
39,8/2/23 17:08,16.713,,
40,8/2/23 17:23,16.713,,
41,8/2/23 17:38,16.713,,
42,8/2/23 17:53,16.713,,
43,8/2/23 18:08,16.713,,
44,8/2/23 18:23,16.713,,
45,8/2/23 18:38,16.713,,
46,8/2/23 18:53,16.523,,
47,8/2/23 19:08,16.427,,
48,8/2/23 19:23,16.427,,
49,8/2/23 19:38,16.332,,
50,8/2/23 19:53,16.332,,
51,8/2/23 20:08,16.237,,
52,8/2/23 20:23,16.237,,
53,8/2/23 20:38,16.237,,
54,8/2/23 20:53,16.141,,
55,8/2/23 21:08,16.141,,
56,8/2/23 21:23,16.046,,
57,8/2/23 21:38,16.046,,
58,8/2/23 21:53,15.951,,
59,8/2/23 22:08,15.855,,
60,8/2/23 22:23,15.855,,
61,8/2/23 22:38,15.76,,
62,8/2/23 22:53,15.664,,
63,8/2/23 23:08,15.569,,
64,8/2/23 23:23,15.569,,
65,8/2/23 23:38,15.473,,
66,8/2/23 23:53,15.378,,
67,8/3/23 0:08,15.378,,
68,8/3/23 0:23,15.282,,
69,8/3/23 0:38,15.187,,
70,8/3/23 0:53,15.187,,
71,8/3/23 1:08,15.091,,
72,8/3/23 1:23,15.091,,
73,8/3/23 1:38,15.091,,
74,8/3/23 1:53,15.091,,
75,8/3/23 2:08,14.996,,
76,8/3/23 2:23,15.091,,
77,8/3/23 2:38,15.091,,
78,8/3/23 2:53,15.091,,
79,8/3/23 3:08,15.091,,
80,8/3/23 3:23,15.091,,
81,8/3/23 3:38,14.996,,
82,8/3/23 3:53,15.091,,
83,8/3/23 4:08,15.091,,
84,8/3/23 4:23,15.091,,
85,8/3/23 4:38,15.091,,
86,8/3/23 4:53,15.091,,
87,8/3/23 5:08,15.091,,
88,8/3/23 5:23,15.091,,
89,8/3/23 5:38,15.091,,
90,8/3/23 5:53,15.091,,
91,8/3/23 6:08,15.091,,
92,8/3/23 6:23,15.091,,
93,8/3/23 6:38,15.187,,
94,8/3/23 6:53,15.282,,
95,8/3/23 7:08,15.378,,
96,8/3/23 7:23,15.378,,
97,8/3/23 7:38,15.473,,
98,8/3/23 7:53,15.473,,
99,8/3/23 8:08,15.473,,
100,8/3/23 8:23,15.569,,
101,8/3/23 8:38,15.569,,
102,8/3/23 8:53,15.569,,
103,8/3/23 9:08,15.76,,
104,8/3/23 9:23,15.76,,
105,8/3/23 9:38,15.76,,
106,8/3/23 9:53,15.855,,
107,8/3/23 10:08,15.951,,
108,8/3/23 10:23,20.71,,
109,8/3/23 10:38,24.351,,
110,8/3/23 10:53,24.448,,
111,8/3/23 11:08,25.513,,
112,8/3/23 11:23,27.961,,
113,8/3/23 11:38,29.452,,
114,8/3/23 11:53,29.452,,
115,8/3/23 12:08,29.452,,
116,8/3/23 12:23,29.452,,
117,8/3/23 12:38,29.452,,
118,8/3/23 12:53,29.352,,
119,8/3/23 13:08,29.152,,
120,8/3/23 13:23,29.152,,
121,8/3/23 13:38,29.252,,
122,8/3/23 13:53,29.252,,
123,8/3/23 14:08,29.152,,
124,8/3/23 14:23,29.252,,
125,8/3/23 14:38,29.252,,
126,8/3/23 14:53,29.252,,
127,8/3/23 15:08,29.252,,
128,8/3/23 15:23,29.252,,
129,8/3/23 15:38,29.352,,
130,8/3/23 15:53,29.552,,
131,8/3/23 16:08,29.652,,
132,8/3/23 16:23,29.752,,
133,8/3/23 16:38,29.752,,
134,8/3/23 16:53,29.752,,
135,8/3/23 17:08,29.652,,
136,8/3/23 17:23,29.652,,
137,8/3/23 17:38,29.552,,
138,8/3/23 17:53,29.452,,
139,8/3/23 18:08,29.452,,
140,8/3/23 18:23,29.352,,
141,8/3/23 18:38,29.352,,
142,8/3/23 18:53,29.352,,
143,8/3/23 19:08,29.352,,
